CATS2D_01_DN:(Dragon7),logd_pH_10.0,averagemicrospeciescharge_Charge_pH_10.0,R2s:(alvaDesc),ATSC1e:(alvaDesc),TPSA:(CDK23),SPP:(alvaDesc),SpPosA_B(e):(alvaDesc),Mor26m:(alvaDesc),GATS3e:(alvaDesc),XLogP:(CDK23),DISPe:(alvaDesc),FPSA-3:(CDK23),RTs:(alvaDesc),DLS_06:(Dragon7),TDB03e:(Dragon7),LDI:(alvaDesc),Mor10e:(alvaDesc),SHED_DN:(alvaDesc),MATS1e:(Dragon7),apKa1,RHSA:(CDK23),tpsaEfficiency:(CDK23),MAXDN:(alvaDesc),TDB04s:(alvaDesc),Hy:(Dragon7)
1,-2.83,-1.76,8.458,0.09554,158.5,0.8158,1.402,-0.06509,1.11,1.043,0.1704,0.06371,73.07,1,3.224,0.249,-0.08865,2,-0.167,4,0.529,0.3784,2.532,13.8,0.66
1,-4.47,-0.54,7.097,0.129,173.8,0.8012,1.34,-0.2095,0.8476,-3.979,0.2471,0.06982,78.98,0.83,2.995,0.2727,0.2397,4,-0.256,2.45,0.5318,0.6759,2.714,11.66,5.017
2,-5.73,-2,14.09,0.1661,180.5,0.8147,1.42,-0.201,0.774,1.252,0.3983,0.06411,115,1,3.338,0.3112,0.3102,2,-0.184,2.94,0.4522,0.4493,2.895,25.81,0.671
0,2.84,0.01,3.696,0.04448,12.5,0.564,1.32,-0.2944,1.217,2.099,0.02943,0.03244,49.89,1,3,0.1241,-0.588,0,0.005,13.78,0.9745,0.1381,1.605,8.917,-0.314
1,-2.54,-1.76,8.939,0.1409,200.1,0.8797,1.407,-0.02269,0.7768,0.697,0.2866,0.06244,93.24,1,3.329,0.2562,-0.2018,2,-0.153,2.91,0.4667,0.4143,3.104,15.33,0.605
1,-2.7,-1.53,8.196,0.1306,173.4,0.8123,1.392,-0.119,1.04,0.69,0.1107,0.06247,77.91,1,3.328,0.2587,-0.3875,2,-0.157,3.74,0.5443,0.3667,2.576,14.71,0.605
0,-1.98,-0.66,7.259,0.2259,200.4,0.7237,1.394,-0.3308,1.11,-1.516,0.1378,0.06645,93.06,1,3.324,0.2713,0.4512,0,-0.2,9.71,0.5151,0.4345,2.261,19.97,1.433
0,0.48,-0.23,4.49,0.04842,86.69,0.7989,1.381,-0.06298,0.9157,1.004,0.1085,0.06354,50.68,1,3.088,0.1905,0.6443,0,-0.218,9.31,0.7757,0.3523,1.37,10.88,2.342
0,-0.61,0,5.484,0.1795,163.4,0.5966,1.391,0.2654,1.06,-0.101,0.2095,0.06397,74.76,0.83,3.453,0.247,0.278,0,-0.23,12.47,0.6802,0.4868,2.374,14.04,2.125
0,-0.73,-0.34,3.787,0.0819,107.6,0.5645,1.435,0.1613,0.7976,-0.337,0.07884,0.0717,32.63,1,3.445,0.33,-0.02666,0,-0.476,10.29,0.6242,0.5959,1.234,18.33,1.882
0,-2.31,-0.92,6.898,0.2207,222.1,0.6713,1.41,-0.1996,1.036,-1.004,0.1426,0.07088,87.76,1,3.382,0.2614,0.8001,0,-0.225,8.93,0.5025,0.4323,2.07,17.55,1.361
1,-2.13,-0.75,6.338,0.04266,115.1,0.8013,1.323,-0.1157,0.6821,-1.389,0.3282,0.04766,64.61,1,2.928,0.2185,0.07871,2,-0.145,2.79,0.6459,0.483,2.58,9.743,1.83
1,-2.59,-1.42,6.467,0.1552,175.9,0.8402,1.4,-0.08999,0.8982,0.878,0.09137,0.0665,63.72,1,3.416,0.2981,-0.2722,2,-0.189,4.16,0.4974,0.3973,2.715,19.05,0.671
2,-7.04,-1.75,18.13,0.1935,162.8,0.8013,1.439,-0.2579,1.034,-4.001,0.2088,0.05985,118.6,1,3.311,0.3287,0.4279,3.78,-0.14,-1.25,0.5403,0.6888,5.013,16.64,2.938
0,-7.12,-0.06,7.559,0.7711,451.8,0.6028,1.374,-1.033,0.9032,-5.97,0.07935,0.08816,187.8,0.17,3.373,0.264,0.4242,0,-0.273,11.55,0.3357,0.5485,3.414,17.87,7.881
3,-10.27,-3,15.02,0.7812,385.1,0.8692,1.438,-0.2512,1.091,-5.08,0.4443,0.07163,148.4,0.5,3.563,0.391,0.3542,6.928,-0.492,2.12,0.3707,0.5987,6.109,29.22,4.773
